"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1979",NA,19.2639447958597,19.4523755725818,19.839924380195,NA,NA,19.4523755725818,19.57803480083,NA,18.270601873224,NA,18.5736275012827,20.1438848920863,NA,19.5047298199484,NA,NA,NA,18.9500482476851
"1980",NA,20.050151069821,19.358747894672,19.358747894672,NA,NA,19.2959395345971,17.9683093174709,NA,18.6160114117997,NA,18.187600016413,19.1912761325831,NA,19.4320340984954,NA,NA,NA,20.4696399564082
"1981",NA,18.9302946309414,19.6001890164979,19.2965340179718,NA,NA,19.5268764188058,18.1881597439501,NA,18.0628352804817,NA,18.9930598332717,19.4012222051045,20.9426237939476,19.3174699351976,NA,NA,NA,20.5332264001563
"1982",NA,19.7577289399871,19.2969303605722,19.8939537177854,19.9568389682458,NA,19.9568389682458,19.0562240749107,NA,18.5751523983498,NA,18.8783837886114,19.7891621971518,20.6176025995661,19.3283352161857,NA,NA,NA,19.3178667159627
"1983",NA,19.4545734682348,19.6326203538187,19.423159884139,19.4545734682348,NA,19.3603385234789,18.8580462366033,20.775694494441,17.5105852923386,NA,19.5697731755424,20.1461624644102,21.3219177377363,19.0568110644502,NA,NA,NA,19.5069337442219
"1984",NA,18.5449358059914,19.6332254584682,20.0733865745737,20.9128408751916,NA,20.0419338924519,18.7854151268785,21.9220115942626,18.2314376878802,NA,19.214377406932,18.8063317387644,21.0598874474017,18.6181131455785,NA,NA,NA,19.790382244143
"1985",NA,19.4348286098756,20.3781577405126,20.1788651315789,20.5775282285432,NA,20.6719940760853,19.2359042826333,21.7753891771683,19.5290830268538,NA,18.4618858010755,19.5500308198069,21.2917035420997,18.9376633110366,NA,NA,NA,19.5186094531707
"1986",NA,18.6819954834736,20.6726319037334,19.781123156759,19.9697832410043,NA,19.3621282933594,19.1736929128198,20.9876543209877,18.6192597458584,NA,18.7238236018724,19.9173706604181,21.1347313399049,18.4310988875662,NA,20.59915464278,NA,20.2633932702094
"1987",NA,18.6091865537593,19.9387448868425,19.5615098526722,20.3687138200849,NA,19.6662693682956,18.5255508913818,21.3768899043855,18.0135819946246,NA,18.98571707277,19.1008235946518,20.2847889785637,18.5987313448156,NA,21.2192310858648,NA,19.9806771229469
"1988",NA,18.986301932516,20.0861422065974,19.7821395540027,20.7156889972331,NA,19.2479534926716,19.0909464344397,20.8206890166751,19.1642103749653,NA,19.0176930265036,19.8974295727603,20.7471867349668,18.3536607266551,NA,20.0546852514288,NA,19.8240601812838
"1989",NA,18.8090349075975,19.3323061119671,19.4789183857976,20.6848314664527,NA,19.8980430850189,19.0078146661053,20.6953301789755,18.4117079578809,NA,18.5476007185014,19.7617897625091,19.8875607675468,18.3699020956056,NA,20.0343328227954,NA,19.0706033376123
"1990",NA,18.6945630749014,18.7050211997084,19.3643162393162,19.9930101558324,NA,19.2491397462894,18.6841051648205,19.8881739881185,18.4436324821414,NA,17.9525846592599,18.8619188434368,20.4545454545455,18.3547908723785,NA,20.1817695803261,NA,19.5109421555533
"1991",NA,18.2769767561188,19.6163054759189,19.563921826514,20.1509263257459,NA,20.098487730156,18.0993618025487,21.1798122838795,18.412841776829,NA,18.5801100435247,18.9462010043027,19.8887872465079,18.6010224403063,NA,20.8016131023415,NA,19.8468574952464
"1992",NA,19.4911945420545,19.7636176772867,20.057159305864,20.0257003341043,NA,20.3718557824808,18.5911386687472,20.6027566344374,18.6225092137277,NA,19.0723661236982,19.2189169200427,20.4453129017329,18.408182326708,NA,20.392842451666,NA,20.2669353843623
"1993",NA,19.0832246335877,20.1939192037591,19.701142810162,20.666172900465,NA,20.2148989769164,19.1041587493966,20.8762038027821,20.8551968228491,NA,19.2402514689567,19.3763805414291,20.6136786775975,18.9314780108341,19.1250937252848,20.4982103920681,NA,19.7116224576837
"1994",NA,19.6388749010863,20.0896529034381,19.1675569068946,19.8589725140308,NA,20.2994529225453,19.2617856445764,20.2784690372869,18.2262268836847,NA,18.9686867753232,19.0105477215073,20.3309303688773,18.796046720575,20.0057570523892,20.2050322355094,NA,19.6179181781747
"1995",NA,19.0006675910235,19.6499594051571,18.519469053803,20.2161461814517,NA,19.5870885529602,17.9864973015124,19.9329742176899,20.0692966492911,NA,18.7181698702152,18.4462830277772,17.13073074715,18.6763316768656,20.1427161306243,19.4089965682346,NA,18.8646306147179
"1996",NA,19.2315594822272,18.9593903415977,19.2943883946,19.9126188640452,NA,19.7448890442076,18.5723232343973,20.2797202797203,18.9907870546306,NA,18.6141541494266,18.499127399651,19.3886462882096,18.8704434939332,20.4791145945835,20.5630934134324,NA,19.7239266956513
"1997",NA,19.3054556662899,19.9446894694096,19.5359066058289,20.3013318249601,NA,19.1588593030901,18.0189424645727,20.5427313500391,18.8762567910363,NA,18.8657930411207,18.8867207558796,19.9656615296041,18.8030150547352,20.4062741064541,20.2278850702371,NA,19.2112103062493
"1998",NA,18.9812960281022,19.7249403831922,19.8926720947446,19.8507339939965,NA,20.6271475895558,18.4791647417537,20.2073178256309,18.4164331249423,NA,19.36869361501,19.8087993421053,19.9450995712832,18.7353990706749,20.931740298231,20.8266877951905,NA,19.4315426034773
"1999",NA,18.8772261364337,20.5752849676968,20.0086368216496,19.9876619370759,NA,19.9666879151159,18.7412070364247,20.2289252033691,20.6802889067226,NA,19.2750287686997,19.4321416460288,19.8932856305709,19.0080479900569,20.4703026313082,20.6277842364633,NA,19.6207410452747
"2000",NA,19.3698877882363,20.0721858322451,19.7680873373219,19.8414738205632,NA,20.1665981077746,19.1709046077978,20.0931648277068,20.187580986857,NA,19.5479912434866,19.2232610705846,19.8205051761537,18.9719990960823,19.8205051761537,19.9148708669189,NA,19.3384642258963
"2001",21.5645081562037,19.4647702047192,19.5381152553522,19.8630559496638,19.4123873434112,21.6171124316419,20.0308483290488,19.2238536069128,19.4962025056269,19.0877337168687,21.3015680177908,18.5959111585735,19.4019114171205,19.1191427720189,19.0249214143365,19.2029097185834,19.674355495251,20.209188238561,18.7109760105159
"2002",22.0809462968306,19.2768113112547,19.8426977844034,19.3396565720921,19.6015952635474,21.8703642656997,20.2203046416193,18.701090640212,20.0209772951629,21.2496525311178,22.1230731184568,18.470984434679,19.5177602368032,19.0569139100062,18.9731684266754,19.1825579483807,19.4129858384889,20.293760671453,19.6120756113355
"2003",21.7236797379562,19.5393201837786,19.9481758729898,19.6755689878493,18.5865971124027,21.2713382616395,20.3048818120101,18.764443075027,21.0085331082542,19.4240611703768,21.5763617825474,18.7539798286876,19.6755689878493,19.6965335745713,18.8638546358449,20.1264976603075,20.0950245788683,19.8852536552263,19.9481758729898
"2004",21.5031616238595,19.9276107432238,19.3825536463044,18.0851500595311,19.7912918315941,21.1876621504756,20.5257472092186,19.6969385447293,20.2108511185395,20.9774374176548,21.1140736470419,19.2673277500899,19.8332322308017,20.5677480425142,19.4454151164464,19.1625995376316,19.37207748831,21.524201853759,19.602602715788
"2005",21.146263370842,19.1841348129881,20.1695019850657,19.791902284551,19.2783960703312,21.2619180000412,20.0331142854205,19.2260265526738,20.2009812492929,19.5717648510017,21.146263370842,18.5247938551903,19.6451334347629,20.1065492841863,19.8653025551386,20.0016453795685,20.0855667770533,20.2009812492929,20.2534510070152
"2006",21.0312844216139,19.4466143156683,19.6562217287606,19.6247751220766,19.4780499337027,21.4834497106017,19.8659153539259,18.703203475653,20.2750660919836,19.5828493302768,21.1574298098405,18.4521548050561,19.3104157032013,19.0904794196823,19.3366049176537,19.2161456727706,19.5723684210526,20.9051701954649,20.0652042002201
"2007",21.0844923970226,19.6253803766757,19.8036090689425,20.2651963255187,20.0972980756374,21.3894381281925,20.7377066051911,19.1957909015239,20.0972980756374,19.9504324307648,21.126543050994,18.7351705578438,19.4367355329428,19.7931233034466,19.4262573105426,19.971410647991,20.9268332852967,20.4331498533875,19.1957909015239
"2008",20.9905393302381,19.405899886936,20.6017946818144,19.4373348957209,20.1189031289214,21.5689505994809,20.1503821269505,19.2697039145761,19.8251928020566,19.8356795442627,21.1166822819607,18.5055865921788,19.9510479442193,20.0559509606286,19.468771843263,20.0664424491139,20.2448307787265,20.7908767162766,19.9930065614908
"2009",20.9384200448827,20.2137618170783,19.9409689727161,20.7282682530207,19.6578384602731,20.7913047058339,20.1193170129603,19.1967772433921,19.6683219723842,19.7521978304457,20.6337281699272,19.7731689510863,19.9304798535552,20.0039082185723,19.3591489580389,20.3397154291711,20.1403032360262,20.2452473047486,20.1298100165606
"2010",20.7919467232098,19.7737789203085,19.543136771116,20.1199378709485,19.7213510873477,20.7814397760257,20.035998971458,19.2706941560978,19.6374777664682,19.344029766371,20.9811087661502,19.3649847361983,20.046490578458,19.5850639470329,19.4383339158323,19.700381463545,20.1514185199663,20.424332222085,19.7947515630141
